Country,Country_id,Policy_type,Policy_subtype,Policy_start_date,Air_ban,Air_ban_info,Land_ban,Land_ban_info,Sea_ban,Sea_ban_info,Citizen_ban,Citizen_ban_info,Travel_history_ban,Travel_history_ban_info,Refugee_ban,Refugee_ban_info,Visa_ban,Visa_ban_info,Citizen_exceptions,Citizen_exceptions_info,Country_exceptions,Country_exceptions_info,Work_exceptions
"Bolivia, Plurinational State of",BOL,COMPLETE,CITIZEN_EXCEP,2020-05-31,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, residents, diplomats",0,no policy,0
Brazil,BRA,COMPLETE,CITIZEN_EXCEP,2020-05-22,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"Residents, Brazilian Nationals, Humanitarian Aid Workers",0,no policy,0
Barbados,BRB,COMPLETE,ESSENTIAL_ONLY,2020-04-17,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Brunei Darussalam,BRN,COMPLETE,WORK_EXCEP,2020-09-21,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, permanent residents",0,no policy,1
Bhutan,BTN,COMPLETE,ESSENTIAL_ONLY,2020-09-08,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Botswana,BWA,COMPLETE,CITIZEN_EXCEP,2020-04-30,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, residents",0,no policy,0
Central African Republic,CAF,PARTIAL,BORDER_CLOSURE,2020-07-25,1,Commercial flights from Bangui Mpoko are allowed to operate again,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Canada,CAN,COMPLETE,WORK_EXCEP,2020-09-17,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, permanent residents, family members of citizens and permanent residents",0,no policy,1
Cocos (Keeling) Islands,CCK,COMPLETE,SPECIFIC_COUNTRY,2020-09-02,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"residents, essential staff",1,Western Australia,0
Switzerland,CHE,PARTIAL,BORDER_CLOSURE,2020-06-15,1,All non-Schengen,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Chile,CHL,PARTIAL,BORDER_CLOSURE,2020-11-23,0,no policy,1,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
China,CHN,PARTIAL,VISA_BAN,2020-09-23,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,no policy,0,no policy,0,no policy,0
Côte d'Ivoire,CIV,PARTIAL,BORDER_CLOSURE,2020-08-18,1,Mali,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Cameroon,CMR,PARTIAL,BORDER_CLOSURE,2020-10-25,1,Citizens,1,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
"Congo, The Democratic Republic of the",COD,PARTIAL,BORDER_CLOSURE,2020-04-03,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Congo,COG,COMPLETE,ESSENTIAL_ONLY,2020-03-31,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Cook Islands,COK,COMPLETE,WORK_EXCEP,2020-08-30,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, permanent residents",0,no policy,1
Colombia,COL,COMPLETE,ESSENTIAL_ONLY,2020-07-08,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Comoros,COM,COMPLETE,CITIZEN_EXCEP,2020-03-23,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,Yes,0,no policy,0
Cabo Verde,CPV,PARTIAL,BORDER_CLOSURE,2020-10-12,0,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Costa Rica,CRI,COMPLETE,SPECIFIC_COUNTRY,2020-11-01,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,residents,1,Authorities will ease restrictions on international tourism from November 1 by allowing tourists to enter the country regardless of their country of departure as authorities gradually ease restrictions imposed due to the coronavirus disease (COVID-19) pandemic.,0
Cuba,CUB,PARTIAL,BORDER_CLOSURE,2020-07-31,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Curaçao,CUW,COMPLETE,SPECIFIC_COUNTRY,2020-10-27,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,residents,1,"Anguillla, Antigua and Barbuda, Aruba, Austria, Azerbaijan, Barbados, Bermuda, Bonaire, St. Eustatius and Saba, Canada, Cayman Isl., China (People's Rep.), Taiwan, Cuba, Denmark, Dominica, Finland, French Guiana, Germany, Greece, Grenada, Guyana, Hong Kong, Hungary, India, Italy, Jamaica, Monteserrat, Morocco, Netherlands, New Zealand, Norway, Poland, St. Barthelemy, St. Kitts and Nevis, St. Lucia, St. Maarten, St. Vincent and the Grenadines, Suriname, Sweden, Trinidad and Tobago, Turkey, Turks and Caicos Isl., Uruguay, Virgin Isl. (British), United States",0
Christmas Island,CXR,PARTIAL,BORDER_CLOSURE,2020-11-15,1,only visitors from “very low risk states” of Australia PERMITED,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Cayman Islands,CYM,PARTIAL,BORDER_CLOSURE,2020-08-08,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Cyprus,CYP,COMPLETE,SPECIFIC_COUNTRY,2020-12-21,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, permanent residents, family of citizens and permanent residents",1,"Australia, China, Denmark, Estonia, Finland, Germany, Greece, Hong Kong, Japan, South Korea, Latvia, Lithuania, New Zealand, Norway, Rwanda, San Marino, Serbia, Singapore, Sweden, Thailand, United Kingdom, Uruguay, Vatican City",0
Czechia,CZE,PARTIAL,VISA_BAN,2020-04-21,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"China, Hong Kong",0,no policy,0,no policy,0
Germany,DEU,PARTIAL,BORDER_CLOSURE,2020-04-15,1,"Austria, Switzerland, France, Luxembourg, Denmark, Italy, Spain",1,"Austria, Switzerland, France, Luxembourg, Denmark",1,Denmark,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Djibouti,DJI,PARTIAL,BORDER_CLOSURE,2020-10-22,0,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Dominica,DMA,COMPLETE,CITIZEN_EXCEP,2020-04-16,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,1,"citizens, permanent residents",0,no policy,0
Denmark,DNK,PARTIAL,CITIZENSHIP_BAN,2020-10-31,0,no policy,0,no policy,0,no policy,1,"Afghanistan Åland Islands Albania Algeria American Samoa Angola Anguilla Antarctica Antigua and Barbuda Argentina Armenia Aruba Azerbaijan Bahamas Bahrain Bangladesh Barbados Belarus Belize Benin Bermuda Bhutan Bolivia Bonaire, Sint Eustatius and Saba Bosnia and Herzegovina Botswana Bouvet Island Brazil British Indian Ocean Territory Brunei Burkina Faso Burundi Cabo Verde Cambodia Cameroon Cayman Islands Central African Republic Chad Chile China Christmas Island Cocos (Keeling) Islands Colombia Comoros Congo Democratic Republic of the Congo Cook Islands Costa Rica Côte d'Ivoire Cuba Curaçao Djibouti Dominica Dominican Republic Ecuador Egypt El Salvador Equatorial Guinea Eritrea Eswatini Ethiopia Falkland Islands (Malvinas) Faroe Islands Fiji French Guiana French Polynesia French Southern Territories Gabon Gambia Ghana Gibraltar Greece Greenland Grenada Guadeloupe Guam Guatemala Guernsey Guinea Guinea-Bissau Guyana Haiti Heard Island and McDonald Islands Honduras Hong Kong India Indonesia Iran Iraq Isle of Man Israel Jamaica Jersey Jordan Kazakhstan Kenya Kiribati North Korea Kuwait Kyrgyzstan Kosovo Laos Lebanon Lesotho Liberia Libya Macao North Macedonia Madagascar Malawi Malaysia Maldives Mali Marshall Islands Martinique Mauritania Mauritius Mayotte Mexico Micronesia Moldova Mongolia Montenegro Montserrat Morocco Mozambique Myanmar Namibia Nauru Nepal New Caledonia Nicaragua Niger Nigeria Niue Norfolk Island Northern Mariana Islands Oman Pakistan Palau Palestine, State of Panama Papua New Guinea Paraguay Peru Philippines Pitcairn Portugal Puerto Rico Qatar Réunion Russian Federation Rwanda Saint Barthélemy Saint Helena, Ascension and Tristan da Cunha Saint Kitts and Nevis Saint Lucia Saint Martin (French part) Saint Pierre and Miquelon Saint Vincent and the Grenadines Samoa Sao Tome and Principe Saudi Arabia Senegal Serbia Seychelles Sierra Leone Singapore Sint Maarten (Dutch part) Solomon Islands Somalia Somaliland South Africa South Georgia and the South Sandwich Islands South Sudan Sri Lanka Sudan Suriname Svalbard and Jan Mayen Syrian Arab Republic Taiwan Tajikistan Tanzania Timor-Leste Togo Tokelau Tonga Trinidad and Tobago Turkey Turkmenistan Turks and Caicos Islands Tuvalu Uganda Ukraine United Arab Emirates United States Minor Outlying Islands United States Uzbekistan Vanuatu Venezuela Vietnam Virgin Islands, British Virgin Islands, U.S. Wallis and Futuna Western Sahara Yemen Zambia Zimbabwe ",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Dominican Republic,DOM,PARTIAL,BORDER_CLOSURE,2020-12-22,1,United Kingdom,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Algeria,DZA,PARTIAL,BORDER_CLOSURE,2020-03-19,1,"Albania, Andorra, Armenia, Austria, Belarus, Belguim, Bosnia, Bulgaria, Croatia, Cyprus, Czechia, Azerbaijan, Denmark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, Ireland, Italy, Kazakhstan, Kosovo, Latvia, Liechtenstein, Lituania, Luxembourg, Malta, Moldova, Monaco, Montenegro, Netherlands, North Macedonia, Norway, Poland, Portugal, Romania, Russia, San Marino, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom,Morocco, China",0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
Ecuador,ECU,PARTIAL,BORDER_CLOSURE,2020-06-01,0,no policy,1,no policy,1,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0,no policy,0
